,,,,Marketwise Price & Arrival Report (07-09-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 07 Sep, 2026","Price on 06 Sep, 2026","Price on 05 Sep, 2026","Arrival on 07 Sep, 2026","Arrival on 06 Sep, 2026","Arrival on 05 Sep, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2900.00,2750.00,2750.00,2750.00,0.10,0.10,0.10
Cereals,Jowar(Sorghum),4023.00,3350.40,3442.00,3232.00,0.50,0.30,0.40
Cereals,Maize,2410.00,2804.75,3150.36,2640.57,18.75,2.80,22.80
Cereals,Paddy(Common),2441.00,2375.94,2372.51,2372.59,178.35,24.95,360.25
Cereals,Ragi(Finger Millet),5205.00,4900.00,-,4900.00,0.10,-,0.10
Fibre Crops,Cotton,8267.00,8048.08,7825.00,8077.78,2.60,0.40,2.70
Oil Seeds,Groundnut,7517.00,6798.80,7067.92,7176.67,1178.54,0.24,155.04
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",10346.00,9950.00,-,9000.00,0.10,-,0.10
Pulses,Bengal Gram(Gram)(Whole),5875.00,5975.00,5950.00,5975.00,0.60,0.20,0.60
Pulses,Black Gram(Urd Beans)(Whole),8200.00,8486.27,7700.00,8452.94,1.28,0.08,1.28
Pulses,Green Gram(Moong)(Whole),8780.00,7000.00,-,7000.00,0.20,-,0.20
Pulses,Red gram/Arhar/Tur(whole),8450.00,8300.00,8100.00,8264.00,0.20,0.10,0.30
Vegetables,Onion,-,4737.48,2800.00,4372.50,127.50,0.10,105.00
Vegetables,Potato,-,1400.00,-,1500.00,4.50,-,1.90
Vegetables,Tomato,-,1708.76,1517.58,1532.44,1667.85,1355.50,1447.86

